"id","__typename","_deleted","_lastChangedAt","_ttl","_version","category","createdAt","date","description","grandTotal","item","lineItems","owner","quantity","receiptImageKey","totalCost","unitCost","updatedAt","userId","vendor"
"e2628178-fcf4-47dc-9ef9-6c8b616751d4","Expense","","1741628819652","","1","Food","2025-03-10T17:46:59.615Z","2025-02-24","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","1","","49.15","49.15","2025-03-10T17:46:59.615Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","McDonalds"
"0fbbe042-2107-4579-85e9-4dd2ec1ffd9c","Expense","true","1741723581136","1744315581","2","Custom Hire","2025-03-11T19:54:51.753Z","2025-03-11","Test","","Test","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","4","","16","4","2025-03-11T19:54:51.753Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Test"
"629e151a-7f08-461c-b272-a29910fb5438","Expense","true","1741725773036","1744317773","2","Equipment","2025-03-11T20:42:42.150Z","2025-02-24","","","Side by Side","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","","5000","5000","2025-03-11T20:42:42.150Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""
"d6b7cb09-cf68-42ab-8f6f-a5cf92331f93","Expense","true","1741723908578","1744315908","3","Seeds and Plants","2025-03-11T19:48:59.055Z","2025-03-11","test","","This is a test","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","3","","129","43","2025-03-11T19:57:58.514Z","74c88408-2041-70a6-c023-9dfcbd1495a6","this place"
"f0a02f91-5d30-4f82-96eb-cd31e39dcd02","Expense","","1741831475580","","1","","2025-03-13T02:04:35.551Z","2025-01-21","","63.94999999999999","","[{""M"":{""item"":{""S"":""20G x 1\"" alum hub disp""},""quantity"":{""N"":""1""},""category"":{""S"":""Supplies Purchased""},""lineTotal"":{""N"":""3.99""},""unitCost"":{""N"":""3.99""}}},{""M"":{""item"":{""S"":""Vit B Complex Oral Gel 30ml""},""quantity"":{""N"":""1""},""category"":{""S"":""Medicine""},""lineTotal"":{""N"":""18.99""},""unitCost"":{""N"":""18.99""}}},{""M"":{""item"":{""S"":""Syringe 12 ML 4pk""},""quantity"":{""N"":""1""},""category"":{""S"":""Medicine""},""lineTotal"":{""N"":""3.99""},""unitCost"":{""N"":""3.99""}}},{""M"":{""item"":{""S"":""Colostrum pack""},""quantity"":{""N"":""1""},""category"":{""S"":""Medicine""},""lineTotal"":{""N"":""16.99""},""unitCost"":{""N"":""16.99""}}},{""M"":{""item"":{""S"":""fluid feeder""},""quantity"":{""N"":""1""},""category"":{""S"":""Medicine""},""lineTotal"":{""N"":""19.99""},""unitCost"":{""N"":""19.99""}}}]","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","","receipts/1741831359774_20250311_151808.jpg","","","2025-03-13T02:04:35.551Z","74c88408-2041-70a6-c023-9dfcbd1495a6","Atwoods"
"03d9de3b-b872-4064-8036-d42d84f439dd","Expense","true","1741725775410","1744317775","2","Food","2025-03-11T20:42:42.631Z","2025-02-24","","","Food for Travel","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","","49.15","49.15","2025-03-11T20:42:42.631Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""
"962a6fbd-917f-42d8-bd5d-85b5d33368bb","Expense","true","1741725774224","1744317774","2","Fuel","2025-03-11T20:42:42.401Z","2025-02-24","","","Gas For Side by Side","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","","12.82","12.82","2025-03-11T20:42:42.401Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""
"6dcb818e-ec41-4c0c-b2a9-c5205e9d0f6a","Expense","","1741628820063","","1","Fuel","2025-03-10T17:47:00.035Z","2025-02-24","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","1","","78.86","78.86","2025-03-10T17:47:00.035Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Shell"
"290fcd10-08f3-4d1b-af77-1d1bed2dd8ba","Expense","","1741478392654","","1","Supplies Purchased","2025-03-08T23:59:52.625Z","2025-03-08","Stretch wrap for metal sheets returning","","Stretch wrap","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","receipts/1741478356516_1000001126.dng","29.99","29.99","2025-03-08T23:59:52.625Z","74c88408-2041-70a6-c023-9dfcbd1495a6","""Harbor freight """
"17d71199-7db8-43fb-9fce-da2be69c9312","Expense","","1741478301922","","1","Supplies Purchased","2025-03-08T23:58:21.893Z","2025-03-08","","","Work gloves","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","2","receipts/1741478299036_1000001123.jpg","19.98","9.99","2025-03-08T23:58:21.893Z","74c88408-2041-70a6-c023-9dfcbd1495a6","""Harbor freight """
"e6c7d9c3-7332-43b1-886e-318a78df40eb","Expense","true","1741725771020","1744317771","2","Supplies","2025-03-11T20:42:41.864Z","2025-02-01","","","Pig Food Buckets","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","3","","35.97","11.99","2025-03-11T20:42:41.864Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""
"a2ca7e00-f193-47a1-b075-f9b0492cf7e0","Expense","","1741478197248","","1","Supplies Purchased","2025-03-08T23:56:37.220Z","2025-03-08","""5 sterlite laying boxes ""","","laying boxes","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","receipts/1741478193839_1000001143.jpg","43.5","43.5","2025-03-08T23:56:37.220Z","74c88408-2041-70a6-c023-9dfcbd1495a6","""Family Dollar """
"8919bbeb-547b-4a1a-be7d-48dd0710274f","Expense","","1741628819307","","1","Fuel","2025-03-10T17:46:59.278Z","2025-02-24","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","1","","12.82","12.82","2025-03-10T17:46:59.278Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Shell"
"f5793fdf-70f3-46e9-9b2d-fc9eccd3e25c","Expense","","1741628818991","","1","Equipment","2025-03-10T17:46:58.955Z","2025-02-24","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","1","","5000","5000","2025-03-10T17:46:58.955Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Facebook"
"3b806e19-cb50-4e9b-8686-c9c3dd27c6f8","Expense","","1741628820382","","1","Food","2025-03-10T17:47:00.352Z","2025-03-10","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","6","","79.14","13.19","2025-03-10T17:47:00.352Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Tractor Supply"
"29fa4bfc-cd46-4784-b86d-019f37e42709","Expense","","1741628818284","","1","Supplies","2025-03-10T17:46:58.254Z","2025-02-01","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","1","","44.94","44.94","2025-03-10T17:46:58.254Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Atwoods"
"a0c6a876-a4ea-4ae0-a885-ebbb2edde0cc","Expense","","1741628818629","","1","Supplies","2025-03-10T17:46:58.599Z","2025-02-01","NA","","","","84b83468-90f1-7065-1ba0-60b8cdd6dce2::mckeachniefarm","3","","35.97","11.99","2025-03-10T17:46:58.599Z","84b83468-90f1-7065-1ba0-60b8cdd6dce2","Tractor Supply"
"0d5536f4-50e8-48ca-839f-d7b7b79d6c8b","Expense","true","1741725769792","1744317769","2","Supplies","2025-03-11T20:42:41.583Z","2025-02-01","","","Chicken Feeder","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","","44.94","44.94","2025-03-11T20:42:41.583Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""
"015b3afe-e829-46f4-9812-3b454abdd298","Expense","true","1741725777130","1744317777","2","Fuel","2025-03-11T20:42:42.935Z","2025-02-24","","","Gas for Picking Up Side by Side","","74c88408-2041-70a6-c023-9dfcbd1495a6::nunezfam","1","","78.86","78.86","2025-03-11T20:42:42.935Z","74c88408-2041-70a6-c023-9dfcbd1495a6",""